CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
110000,Man,IC,25,14,20,MA
75000,Man,IC,19,16,15,BA
70000,Man,IC,5,14,1,BA
75000,Man,IC,13,10,2,LT BA
142000,Woman,IC,9,16,3,BA
80000,Man,IC,9,15,5,BA
90000,Man,IC,9,15,5,BA
85000,Woman,IC,20,15,14,MA
220000,Man,IC,18,7,12,MA
140000,Man,IC,8,13,6,LT BA
140000,Man,Manager,18,14,13,LT BA
80738,Man,IC,14,13,4,LT BA
32000,Man,IC,2,31,LT 1 year,LT BA
175000,Man,IC,15,8,10,MA
2e+05,Man,IC,30,12,19,BA
85000,Man,IC,6,18,4,BA
85000,Man,IC,7,18,6,BA
2e+05,Man,Manager,30,8,20,BA
125000,Man,IC,8,19,5,BA
128000,Man,IC,23,16,15,BA
103000,Man,IC,6,16,4,LT BA
93000,Man,IC,12,21,8,MA
160000,Woman,IC,26,17,24,BA
165000,Man,IC,15,12,9,BA
75000,Man,IC,7,20,4,BA
185000,Man,Manager,12,9,10,MA
65000,Woman,IC,31,7,21,LT BA
94000,Man,IC,4,14,2,LT BA
75000,Man,IC,5,19,LT 1 year,BA
120000,Man,IC,20,14,8,MA
113000,Woman,IC,9,23,6,PhD
105000,Man,IC,30,11,15,MA
105000,Woman,IC,12,16,6,BA
94000,Woman,IC,16,9,9,BA
85000,Woman,IC,20,17,13,MA
155000,Man,IC,8,16,5,Professional
67000,Man,IC,7,19,1,BA
153000,Man,IC,20,10,12,MA
95000,Man,IC,35,10,30,BA
60000,Man,IC,3,25,3,LT BA
168000,Man,IC,20,12,20,BA
145000,Man,IC,9,15,7,LT BA
59000,Woman,Manager,4,18,3,BA
141000,Man,IC,6,13,1,BA
162500,Man,IC,16,12,11,BA
58000,Man,IC,10,12,2,BA
114000,Man,IC,17,15,13,LT BA
140000,Man,Manager,22,12,20,BA
35000,Man,IC,25,14,20,LT BA
80000,Woman,IC,3,9,1,MA
70000,Woman,IC,15,13,7,PhD
84000,Man,IC,8,16,2,BA
180000,Man,IC,8,15,6,MA
53000,Woman,IC,5,13,1,BA
140000,Man,IC,25,16,19,BA
135000,Man,IC,27,8,17,BA
67000,Woman,IC,4,13,2,BA
172000,Man,IC,28,10,24,LT BA
101000,Man,IC,13,12,3,BA
120000,Man,Manager,6,16,10,BA
230000,Man,Manager,21,12,8,MA
75000,Man,IC,37,17,37,LT BA
50000,Man,IC,5,19,3,BA
135000,Man,IC,12,16,10,BA
130000,Man,IC,15,15,12,BA
110000,Man,IC,9,16,2,BA
95000,Man,IC,5,24,1,BA
110000,Man,IC,8,15,7,BA
123000,Man,IC,2,22,LT 1 year,BA
165000,Man,IC,13,15,6,LT BA
1e+05,Man,IC,37,12,20,MA
60000,Man,IC,6,16,4,BA
70000,Man,IC,5,17,5,BA
185000,Woman,IC,7,21,6,PhD
1e+05,Man,IC,3,12,3,LT BA
165000,Man,Manager,18,13,17,MA
230000,Man,IC,35,8,10,LT BA
65000,Man,IC,4,16,2,BA
130000,Man,IC,25,11,3,MA
75000,Man,IC,6,16,4,BA
170000,Man,IC,30,8,17,BA
50000,Man,IC,33,27,25,MA
46000,Man,IC,11,13,6,BA
95000,Man,IC,25,8,20,LT BA
120000,Man,IC,12,8,8,BA
144200,Man,IC,12,18,8,BA
150000,Man,IC,1,19,LT 1 year,BA
115000,Man,IC,6,11,2,LT BA
93000,Man,IC,10,17,5,LT BA
93000,Man,IC,8,19,5,MA
440000,Man,IC,17,11,7,BA
110000,Man,IC,23,9,13,BA
58000,Man,IC,3,20,3,BA
95000,Man,Manager,15,12,11,BA
157500,Man,IC,5,24,5,BA
130000,Man,IC,30,10,25,MA
92000,Man,IC,13,11,9,PhD
