CompTotal,Gender,Manager,YearsCode,Age1stCode,YearsCodePro,Education
58000,Woman,IC,14,12,4,BA
77500,Man,IC,8,16,2,BA
1e+05,Man,IC,4,14,3,BA
48000,Man,IC,3,11,2,Professional
135000,Man,IC,28,13,20,MA
490600,Man,IC,20,5,10,LT BA
57000,Man,IC,6,20,4,LT BA
83000,Woman,IC,10,20,9,BA
80500,Man,IC,9,21,6,BA
120000,Man,IC,17,14,15,LT BA
52000,Man,IC,2,15,LT 1 year,BA
104000,Man,IC,7,21,7,BA
210000,Man,Manager,5,21,5,BA
85000,Man,IC,13,16,6,LT BA
225000,Man,IC,21,15,20,LT BA
90000,Man,IC,7,20,4,MA
105000,Woman,IC,25,6,20,LT BA
2e+05,Man,Manager,24,11,18,PhD
78000,Man,IC,6,24,5,BA
65000,Woman,IC,12,15,6,BA
125000,Man,IC,16,17,10,BA
140000,Man,Manager,40,15,30,BA
137000,Man,IC,10,16,3,BA
103000,Man,IC,11,12,8,LT BA
143000,Man,IC,27,10,21,LT BA
115000,Man,IC,28,13,24,MA
155000,Man,Manager,35,20,35,MA
125000,Man,IC,40,16,34,BA
84000,Man,IC,4,9,1,BA
1e+05,Man,IC,15,17,11,BA
70000,Man,IC,5,18,2,BA
94000,Man,IC,15,10,11,BA
150000,Man,IC,8,12,5,MA
140000,Man,IC,14,10,14,BA
154000,Man,IC,16,14,8,MA
81000,Man,IC,10,12,8,BA
99000,Man,IC,30,23,30,BA
60000,Man,IC,12,12,LT 1 year,BA
55000,Man,IC,4,19,1,BA
75000,Woman,IC,10,16,4,BA
135000,Man,IC,20,15,15,BA
125000,Man,IC,11,10,8,LT BA
116000,Man,IC,4,31,3,LT BA
103000,Man,IC,12,16,7,LT BA
115000,Man,IC,40,12,30,BA
120000,Man,IC,11,16,7,PhD
90000,Man,IC,13,12,6,BA
45000,Man,IC,5,18,2,LT BA
150000,Man,Manager,40,12,27,BA
239000,Man,IC,7,16,2,BA
1e+05,Man,IC,4,20,2,BA
950000,Man,IC,32,12,21,BA
120000,Man,IC,22,19,21,BA
124000,Man,IC,37,10,22,MA
79000,Man,IC,8,9,5,BA
115000,Man,IC,5,17,2,BA
106000,Man,IC,4,18,3,BA
132000,Man,IC,17,12,10,MA
160000,Man,IC,20,8,6,LT BA
107000,Man,IC,20,17,10,LT BA
90000,Man,IC,6,26,4,MA
90000,Man,IC,7,14,2,MA
135000,Man,IC,10,20,8,BA
46000,Man,IC,3,16,LT 1 year,BA
320000,Man,IC,20,8,13,BA
168000,Man,IC,18,7,18,BA
84000,Woman,IC,7,20,5,BA
93000,Man,IC,27,10,20,MA
91000,Man,IC,9,18,3,BA
188000,Man,IC,12,10,2,BA
74000,Man,IC,6,18,2,BA
128784,Man,IC,30,13,20,LT BA
177000,Man,IC,19,8,7,MA
150000,Man,IC,10,16,4,MA
115000,Man,IC,14,17,10,BA
81000,Man,IC,13,11,3,BA
105000,Man,IC,2,21,2,LT BA
110000,Man,IC,25,7,22,LT BA
175000,Man,Manager,11,13,9,LT BA
72800,Man,IC,7,15,LT 1 year,BA
2e+05,Man,IC,20,15,13,BA
135000,Man,IC,30,8,19,MA
104000,Man,IC,20,11,10,BA
61000,Man,IC,3,28,2,BA
85000,Man,IC,12,11,2,BA
1e+05,Man,IC,25,8,10,MA
120000,Man,IC,23,15,20,BA
65000,Man,IC,6,20,3,BA
80000,Man,IC,8,15,4,BA
120000,Man,IC,15,15,10,MA
2e+05,Man,IC,8,18,4,BA
1e+05,Man,Manager,8,13,5,LT BA
52000,Man,Manager,12,8,2,BA
75000,Man,IC,8,21,5,MA
150000,Woman,IC,12,11,2,LT BA
80000,Man,IC,20,14,13,LT BA
77000,Man,IC,10,31,8,LT BA
79000,Man,IC,2,21,2,MA
78000,Man,IC,5,20,5,BA
1e+05,Man,IC,20,18,16,LT BA
32000,Man,IC,3,16,1,LT BA
50000,Man,IC,2,16,LT 1 year,BA
210000,Man,Manager,32,6,22,BA
136000,Man,IC,6,17,LT 1 year,BA
150000,Man,IC,14,24,10,BA
69000,Man,IC,2,15,1,BA
130000,Man,IC,16,18,11,LT BA
75400,Man,IC,5,16,1,LT BA
120000,Man,IC,42,19,39,LT BA
135000,Woman,IC,6,18,3,BA
115000,Man,IC,8,18,4,BA
85000,Man,IC,11,15,7,MA
130000,Man,Manager,22,12,10,BA
102500,Man,IC,4,27,4,BA
96750,Man,IC,17,13,10,BA
90000,Man,IC,11,17,6,BA
78814,Man,IC,7,27,6,BA
131500,Man,IC,30,10,21,BA
71000,Man,IC,9,10,9,BA
140000,Woman,IC,23,17,22,BA
108000,Man,IC,3,22,3,MA
165000,Man,IC,9,15,7,BA
85000,Man,IC,7,12,2,BA
210000,Man,Manager,28,11,24,LT BA
96000,Man,IC,13,17,9,BA
55595,Man,IC,3,16,2,BA
225000,Man,IC,10,12,3,BA
105000,Man,Manager,15,16,12,BA
107500,Man,IC,17,13,13,MA
7e+05,Man,Manager,45,14,40,PhD
1e+05,Man,Manager,10,14,10,LT BA
78000,Woman,IC,7,25,2,MA
58000,Man,IC,8,18,3,BA
66000,Man,IC,6,30,5,MA
77000,Man,IC,6,18,3,BA
105000,Man,IC,5,18,3,BA
170000,Man,Manager,11,21,7,MA
62000,Man,IC,6,16,2,BA
14750,Man,IC,20,10,17,BA
86200,Man,Manager,11,11,9,MA
115000,Man,IC,12,10,10,BA
128500,Man,IC,46,11,23,BA
165000,Man,IC,10,13,4,BA
110000,Man,IC,18,13,17,LT BA
134000,Man,IC,6,16,4,LT BA
76000,Man,IC,10,13,5,BA
95000,Man,IC,15,13,15,LT BA
102000,Man,IC,11,13,8,MA
70000,Man,IC,15,21,11,MA
124000,Man,Manager,25,8,14,MA
125000,Man,IC,20,12,15,BA
220000,Woman,IC,10,12,7,PhD
85000,Man,IC,10,14,4,LT BA
130000,Man,IC,12,15,6,BA
105000,Man,Manager,40,14,31,BA
117000,Man,IC,7,23,6,PhD
150000,Man,IC,10,19,6,BA
275000,Man,Manager,25,8,15,MA
66000,Man,IC,10,16,6,BA
80000,Man,IC,12,18,8,BA
57000,Man,IC,7,16,LT 1 year,BA
89500,Woman,IC,7,13,3,BA
81000,Man,IC,11,18,3,MA
190000,Man,IC,35,12,23,BA
98000,Woman,IC,16,12,16,MA
52000,Man,IC,19,14,5,BA
94500,Man,IC,10,18,5,BA
130000,Woman,IC,4,33,3,MA
70000,Man,IC,4,18,2,MA
115000,Man,IC,19,10,10,MA
2e+05,Man,Manager,16,16,8,BA
125000,Man,IC,36,17,30,LT BA
90000,Man,IC,4,16,2,MA
165000,Man,IC,10,18,7,LT BA
128000,Man,IC,35,12,26,LT BA
145000,Man,IC,37,8,22,BA
121500,Woman,IC,20,10,3,MA
320000,Man,IC,22,8,18,BA
76876,Man,IC,6,16,3,BA
166000,Man,Manager,20,15,17,MA
150000,Man,IC,20,6,6,BA
138000,Man,Manager,27,5,15,BA
2e+05,Man,Manager,36,12,25,BA
130000,Man,IC,6,12,5,BA
136500,Man,IC,10,12,9,MA
150000,Woman,IC,21,14,21,BA
115000,Man,IC,7,18,4,BA
45000,Man,IC,10,13,1,BA
75000,Man,IC,5,27,4,MA
85000,Man,IC,3,34,3,MA
60000,Man,IC,6,10,5,LT BA
90000,Woman,IC,7,14,3,LT BA
1e+05,Man,IC,30,15,25,MA
2e+05,Man,IC,35,13,30,MA
88000,Woman,IC,4,27,3,BA
320000,Man,IC,23,25,20,MA
98000,Man,IC,10,7,10,LT BA
80000,Man,IC,25,20,15,BA
150000,Man,Manager,19,14,9,MA
126000,Man,IC,24,12,18,LT BA
137800,Woman,IC,5,19,4,BA
44000,Man,IC,30,8,6,LT BA
130000,Man,IC,4,20,1,BA
125000,Man,IC,30,12,20,BA
32500,Man,IC,12,10,LT 1 year,LT BA
115000,Man,IC,19,17,15,BA
75000,Man,IC,7,17,3,BA
1e+05,Man,IC,10,12,2,MA
140000,Man,IC,4,10,4,LT BA
83200,Man,IC,12,16,9,BA
145000,Man,IC,20,13,15,BA
86000,Man,IC,6,16,4,BA
101923,Man,IC,11,12,3,BA
105000,Man,IC,25,12,23,BA
85000,Woman,IC,20,11,3,PhD
63000,Man,IC,6,12,4,LT BA
78000,Man,IC,8,16,4,BA
69000,Man,IC,7,18,4,BA
80000,Woman,IC,1,26,LT 1 year,BA
40000,Woman,IC,8,18,4,MA
26000,Man,IC,LT 1 year,8,LT 1 year,LT BA
90000,Man,IC,3,25,2,LT BA
89000,Man,IC,28,8,23,BA
67450,Man,IC,10,14,4,BA
31000,Man,IC,15,11,LT 1 year,LT BA
70000,Man,IC,19,25,16,BA
150000,Man,IC,10,18,5,MA
89000,Man,IC,5,20,4,BA
41800,Man,IC,3,19,LT 1 year,BA
125000,Man,IC,8,15,4,BA
1e+05,Man,IC,24,17,21,BA
135000,Woman,IC,11,14,4,BA
250000,Man,IC,18,10,15,LT BA
160000,Man,IC,23,15,17,LT BA
1e+05,Man,IC,6,15,1,BA
108000,Man,IC,14,16,8,PhD
140000,Man,IC,39,19,37,MA
205000,Man,IC,15,8,8,BA
65000,Man,IC,6,23,2,LT BA
3e+05,Woman,Manager,25,9,18,MA
59000,Man,IC,2,17,LT 1 year,BA
116000,Man,IC,18,17,14,MA
125000,Man,IC,5,15,4,BA
102000,Man,IC,14,8,8,MA
111000,Man,IC,11,16,3,BA
1e+05,Man,IC,10,12,10,BA
230000,Man,Manager,23,19,23,Professional
94000,Man,IC,6,38,6,Professional
135000,Man,IC,15,13,8,BA
150000,Man,Manager,14,18,12,PhD
65000,Man,IC,5,18,1,BA
160000,Man,IC,37,10,24,BA
52500,Man,IC,5,19,3,BA
97000,Man,IC,38,17,29,BA
109980,Man,IC,9,17,7,BA
85000,Man,IC,6,15,4,LT BA
94500,Man,IC,8,18,4,BA
100300,Man,IC,18,12,13,BA
67000,Man,IC,5,17,2,BA
40000,Man,IC,5,19,3,LT BA
54000,Woman,IC,9,15,2,BA
52421,Man,IC,10,16,5,BA
136000,Man,IC,32,16,23,BA
125000,Man,IC,30,14,27,BA
140000,Man,IC,10,14,10,LT BA
140230,Woman,IC,18,16,13,BA
185000,Man,IC,16,9,12,BA
105000,Man,IC,16,21,15,MA
103000,Man,IC,22,8,8,LT BA
141000,Man,IC,28,7,19,LT BA
3e+05,Man,IC,15,14,12,BA
150000,Man,Manager,8,18,10,PhD
260000,Man,IC,18,16,15,MA
125000,Man,IC,19,8,9,MA
120000,Man,IC,8,15,5,BA
78000,Man,IC,17,13,5,BA
130000,Man,IC,10,Younger than 5 years,7,LT BA
81000,Man,IC,9,16,1,BA
62000,Man,IC,3,21,LT 1 year,BA
97000,Man,IC,12,23,10,MA
40100,Man,IC,5,17,LT 1 year,BA
114000,Man,IC,20,25,20,LT BA
72000,Man,IC,16,10,3,MA
180000,Man,Manager,25,8,13,BA
87000,Man,IC,4,12,4,BA
75075,Man,IC,4,20,2,BA
125000,Man,Manager,26,12,15,BA
113000,Man,IC,4,7,1,MA
220000,Man,IC,19,13,11,BA
103832,Man,IC,5,22,2,BA
80000,Man,IC,15,14,6,BA
170000,Man,IC,15,13,10,PhD
104000,Man,IC,14,14,6,BA
65000,Man,IC,9,19,5,BA
68250,Man,IC,14,12,6,BA
74500,Man,IC,6,19,4,BA
122000,Man,IC,21,40,21,LT BA
62000,Man,IC,5,15,2,BA
130000,Man,IC,15,15,7,NA
75000,Woman,IC,2,14,1,BA
135000,Man,IC,7,16,2,BA
212000,Man,Manager,7,21,5,BA
86000,Man,IC,14,18,8,BA
73000,Man,IC,5,13,3,LT BA
220000,Man,Manager,23,13,10,NA
55000,Woman,IC,31,8,9,MA
1e+05,Man,IC,9,19,7,BA
105000,Woman,IC,3,15,1,BA
86000,Man,IC,3,34,3,BA
57985,Man,IC,5,18,1,BA
130000,Man,IC,10,20,9,BA
80000,Man,IC,46,16,41,MA
102000,Man,IC,20,14,14,BA
103000,Man,IC,5,8,3,BA
93000,Man,IC,5,18,5,LT BA
107000,Woman,Manager,40,12,22,LT BA
72000,Man,IC,4,13,LT 1 year,BA
90000,Man,IC,8,19,6,MA
2e+05,Man,IC,20,10,11,MA
120000,Man,IC,6,14,5,MA
82000,Man,IC,6,21,3,BA
68000,Man,IC,4,20,2,BA
80000,Man,IC,10,10,1,BA
135000,Man,IC,17,19,14,MA
180000,Man,IC,16,12,14,BA
150000,Woman,IC,18,16,10,PhD
75000,Woman,IC,4,19,1,BA
150000,Man,IC,31,10,12,BA
120000,Man,IC,30,10,27,BA
105000,Man,IC,7,20,3,BA
2e+05,Man,IC,10,10,1,MA
138000,Woman,IC,2,8,2,PhD
109533,Man,IC,21,17,18,BA
110000,Man,IC,7,17,5,BA
150000,Man,IC,20,10,18,BA
150000,Woman,IC,7,10,6,BA
160000,Man,IC,45,19,41,PhD
105000,Man,IC,12,16,10,MA
70000,Woman,IC,11,26,11,BA
120000,Man,IC,6,20,4,BA
118000,Man,IC,18,12,LT 1 year,BA
125000,Man,Manager,25,10,19,LT BA
55000,Man,IC,7,16,1,LT BA
180000,Man,Manager,18,17,18,BA
130000,Man,IC,30,8,18,BA
140000,Man,IC,19,12,10,BA
256000,Woman,IC,10,13,5,BA
98000,Man,IC,13,13,8,BA
170000,Man,Manager,23,15,19,MA
1e+05,Man,IC,18,12,10,BA
180000,Man,IC,20,20,10,PhD
135000,Man,IC,25,Younger than 5 years,12,BA
65000,Man,IC,2,16,LT 1 year,LT BA
67500,Man,IC,7,22,6,BA
4e+05,Man,IC,27,15,22,PhD
98800,Man,IC,12,15,6,BA
87500,Man,IC,19,12,6,LT BA
204000,Man,IC,NA,NA,NA,MA
150000,Woman,IC,15,28,10,PhD
130000,Man,IC,14,10,3,BA
71000,Man,IC,3,19,LT 1 year,BA
85000,Man,IC,3,16,1,BA
60000,Man,IC,LT 1 year,30,LT 1 year,MA
115000,Woman,IC,7,19,6,BA
110000,Man,IC,20,11,9,BA
5e+05,Man,IC,12,13,8,BA
168000,Man,Manager,LT 1 year,20,14,BA
950000,Man,IC,10,14,4,BA
95000,Man,IC,25,10,20,PhD
231200,Man,IC,42,15,40,BA
130000,Woman,IC,15,13,4,BA
130000,Man,IC,11,18,3,MA
120000,Man,IC,22,8,10,BA
65000,Man,IC,5,20,5,MA
160000,Man,IC,24,9,12,BA
120000,Woman,IC,9,10,3,BA
108000,Man,IC,7,15,10,MA
125000,Man,IC,20,12,18,LT BA
149378,Man,IC,9,18,6,BA
2e+05,Man,IC,20,10,15,LT BA
1e+05,Man,IC,10,20,6,MA
160000,Man,IC,15,15,8,BA
50000,Woman,IC,1,23,LT 1 year,BA
78000,Man,IC,10,14,6,BA
92000,Man,IC,16,14,10,BA
102300,Man,IC,9,19,6,BA
70000,Man,IC,20,10,12,MA
116000,Man,IC,9,19,6,BA
72000,Man,IC,5,18,3,BA
107000,Man,IC,26,13,12,BA
114000,Man,IC,20,13,15,BA
139120,Man,IC,13,13,11,BA
120000,Man,IC,4,19,2,BA
147700,Woman,IC,15,15,9,MA
125000,Man,Manager,9,15,7,MA
272000,Man,IC,10,7,6,MA
80000,Man,IC,5,20,2,BA
170000,Man,IC,11,18,7,BA
135000,Man,Manager,37,17,32,MA
120000,Man,IC,10,15,3,LT BA
137280,Man,IC,6,25,5,BA
106000,Woman,IC,9,14,5,MA
1e+05,Man,IC,17,27,15,NA
260000,Man,IC,18,14,13,BA
70000,Man,IC,5,14,4,BA
78000,Man,IC,4,13,4,LT BA
150000,Man,Manager,12,13,10,BA
90000,Man,IC,5,18,3,MA
82000,Man,IC,4,18,1,BA
66000,Woman,IC,4,26,4,LT BA
230000,Man,Manager,35,7,25,LT BA
124000,Man,IC,36,12,23,BA
330000,Man,Manager,38,12,34,LT BA
140000,Man,IC,30,32,20,PhD
120000,Man,IC,18,13,8,BA
53795,Man,IC,3,21,1,BA
140000,Man,IC,14,12,10,BA
120000,Man,IC,20,19,19,LT BA
78000,Man,IC,3,29,2,MA
120000,Man,IC,35,13,28,MA
92000,Woman,IC,8,18,4,BA
160000,Man,IC,6,25,4,BA
61000,Man,IC,6,12,2,BA
138000,Man,IC,15,8,10,BA
90000,Man,IC,12,14,7,BA
70000,Man,IC,5,16,1,BA
250000,Man,IC,7,9,5,PhD
175000,Man,IC,35,20,38,BA
50000,Woman,IC,5,21,5,LT BA
240000,Man,IC,35,11,25,BA
107000,Man,IC,11,18,11,LT BA
85000,Man,IC,7,14,6,BA
90000,Man,IC,10,15,8,BA
87000,Man,IC,7,14,4,BA
67000,Man,IC,8,13,5,BA
90000,Man,IC,5,17,2,BA
145000,Man,Manager,14,14,7,BA
57000,Man,IC,5,10,5,MA
90000,Man,IC,9,NA,4,BA
90000,Man,IC,4,19,1,BA
160000,Woman,IC,10,14,6,MA
155000,Man,IC,12,14,12,MA
118000,Man,Manager,18,14,16,BA
196000,Man,IC,11,14,8,BA
95000,Woman,IC,5,20,5,LT BA
93000,Man,IC,4,20,2,BA
68836,Woman,IC,3,18,2,BA
162000,Man,Manager,24,12,14,LT BA
60000,Man,IC,5,14,3,LT BA
130000,Man,IC,16,22,16,BA
83000,Man,Manager,2,22,2,BA
160000,Man,IC,7,16,1,BA
110000,Man,IC,22,10,13,BA
105000,Man,IC,30,19,25,BA
45000,Man,IC,5,25,LT 1 year,LT BA
66000,Man,IC,6,20,2,BA
70000,Man,IC,10,10,2,BA
60000,Man,IC,5,11,2,BA
120000,Man,IC,35,13,30,BA
78000,Man,IC,30,12,20,LT BA
88000,Man,IC,15,13,7,MA
63000,Man,IC,9,18,2,BA
155000,Man,Manager,26,9,13,LT BA
105000,Man,IC,5,11,5,LT BA
170000,Man,IC,30,12,25,MA
65000,Man,IC,3,11,2,BA
160000,Man,IC,8,18,4,BA
125000,Man,IC,15,10,6,BA
73000,Man,IC,12,18,10,BA
116000,Man,IC,8,19,6,PhD
85000,Man,Manager,36,9,20,PhD
165000,Man,IC,10,23,9,LT BA
120000,Woman,Manager,13,14,10,BA
96000,Man,IC,9,13,5,BA
116000,Man,IC,24,12,20,LT BA
215000,Woman,IC,9,12,4,BA
89000,Man,IC,9,17,4,BA
63200,Man,IC,7,18,4,BA
110000,Man,IC,24,17,20,LT BA
77000,Man,IC,6,19,2,BA
180000,Man,IC,25,11,20,BA
110000,Man,IC,6,17,3,BA
108000,Man,IC,20,11,12,BA
110000,Man,Manager,19,15,8,BA
87000,Woman,IC,6,19,5,BA
114000,Man,IC,18,26,18,BA
120000,Man,IC,14,19,7,BA
120000,Man,IC,6,17,6,BA
190000,Man,IC,31,10,25,BA
68000,Man,IC,8,14,3,BA
75000,Man,IC,7,19,3,BA
96000,Woman,IC,4,18,1,BA
104000,Man,IC,10,9,10,LT BA
82000,Man,IC,8,21,6,BA
107000,Man,IC,16,11,5,PhD
95000,Man,IC,5,25,4,MA
88000,Man,IC,11,15,8,BA
65000,Man,IC,8,20,3,LT BA
67000,Man,IC,22,16,6,BA
110000,Man,IC,10,13,7,LT BA
108000,Man,IC,4,17,3,MA
65000,Man,IC,8,10,3,BA
64000,Woman,IC,4,20,LT 1 year,BA
80000,Man,IC,8,19,2,LT BA
82000,Woman,IC,3,34,LT 1 year,LT BA
1e+05,Man,IC,7,10,5,BA
36400,Man,IC,10,11,3,LT BA
68000,Man,IC,8,16,8,BA
84000,Man,IC,8,19,7,LT BA
72000,Woman,IC,10,12,8,MA
110000,Man,IC,30,12,20,LT BA
180000,Man,IC,12,14,7,MA
90000,Man,IC,10,14,5,BA
2e+05,Man,IC,23,Younger than 5 years,20,LT BA
67500,Man,IC,3,32,2,MA
70000,Man,IC,10,13,2,BA
74000,Man,IC,14,24,9,LT BA
92000,Man,IC,13,14,7,MA
80000,Man,Manager,20,11,8,MA
180000,Man,IC,25,15,20,MA
230000,Man,IC,42,17,35,NA
240000,Man,Manager,29,13,26,BA
135000,Man,IC,18,15,11,BA
173000,Man,Manager,36,12,30,LT BA
154000,Man,IC,24,13,18,MA
140000,Man,IC,6,20,3,LT BA
130000,Man,IC,7,13,4,BA
130000,Man,IC,43,18,42,BA
107000,Man,IC,40,13,14,MA
95000,Man,IC,15,14,9,MA
110000,Man,IC,25,12,25,MA
165000,Man,IC,17,15,11,BA
120000,Man,IC,23,11,14,BA
135000,Man,IC,42,12,37,LT BA
175000,Man,IC,33,18,29,MA
140600,Man,IC,8,16,4,BA
150000,Man,IC,11,16,4,MA
55000,Man,IC,4,19,LT 1 year,BA
120000,Man,IC,12,14,6,MA
103000,Man,IC,6,18,3,BA
230000,Man,IC,38,12,36,PhD
156000,Man,IC,24,11,19,BA
80000,Man,IC,30,16,23,BA
123000,Man,IC,15,18,15,BA
135000,Man,IC,16,15,14,MA
70000,Man,IC,15,13,7,BA
105000,Man,IC,5,14,2,LT BA
160000,Man,Manager,20,9,12,PhD
96000,Man,IC,16,10,12,BA
121080,Man,IC,11,11,9,BA
75000,Woman,IC,5,27,LT 1 year,BA
81000,Man,IC,7,18,2,MA
115000,Man,IC,26,24,26,BA
137500,Man,IC,7,22,7,BA
90000,Man,IC,12,13,2,BA
238000,Man,Manager,20,6,18,BA
121397,Man,IC,5,29,5,BA
115000,Man,IC,40,12,35,LT BA
150000,Man,Manager,9,16,5,BA
87620,Man,IC,6,22,6,LT BA
120000,Man,IC,13,13,3,LT BA
110000,Man,IC,15,15,15,BA
90000,Woman,IC,23,12,3,BA
120000,Man,IC,20,15,20,LT BA
115000,Man,IC,15,25,15,BA
155000,Man,IC,7,24,6,MA
140213,Man,Manager,16,9,12,BA
65000,Man,IC,5,13,LT 1 year,BA
180000,Man,IC,8,31,7,BA
88000,Man,IC,14,16,4,BA
190000,Man,IC,18,18,14,BA
150000,Man,IC,12,12,8,MA
350000,Man,IC,24,6,18,MA
135000,Man,IC,10,16,5,BA
140000,Man,IC,42,20,38,MA
210000,Man,Manager,35,10,25,MA
90000,Man,IC,3,25,2,BA
159500,Man,IC,24,6,21,MA
150000,Man,IC,20,9,14,NA
90000,Woman,IC,6,18,2,MA
155000,Man,IC,8,16,4,BA
72000,Man,IC,19,15,15,BA
65000,Man,IC,11,19,10,BA
150000,Man,IC,11,15,6,LT BA
115000,Man,IC,15,17,11,BA
75000,Man,Manager,25,10,11,BA
350000,Man,IC,19,13,12,BA
103000,Man,IC,24,8,20,BA
89000,Woman,IC,21,15,13,BA
128000,Man,IC,9,11,8,LT BA
135000,Man,IC,20,5,6,Professional
160000,Man,Manager,18,8,12,LT BA
143000,Man,IC,8,7,2,BA
60000,Man,IC,6,10,2,BA
41600,Woman,IC,4,10,2,LT BA
136000,Man,IC,43,19,43,BA
170000,Man,Manager,32,18,27,PhD
110000,Man,IC,35,15,29,BA
190000,Man,IC,20,10,9,BA
153000,Man,IC,3,13,3,BA
54000,Man,IC,4,14,2,BA
125000,Man,IC,37,15,30,MA
80000,Man,IC,8,13,3,BA
1e+05,Man,IC,3,19,3,LT BA
122000,Man,IC,24,16,20,BA
140000,Man,IC,10,16,5,BA
201000,Man,IC,36,10,28,LT BA
85000,Man,IC,12,10,8,BA
90000,Man,IC,20,14,12,BA
82000,Man,IC,20,25,13,BA
147000,Man,IC,30,11,20,BA
70000,Man,IC,15,18,5,LT BA
165000,Man,Manager,24,16,12,BA
63000,Man,IC,6,12,1,BA
1e+05,Woman,IC,7,18,4,BA
120000,Man,IC,37,15,30,BA
315000,Man,IC,19,16,12,MA
110000,Man,IC,8,17,5,MA
101000,Woman,IC,7,15,7,BA
88000,Man,IC,9,15,5,BA
106000,Man,IC,7,14,7,BA
150000,Woman,IC,6,15,2,BA
61000,Man,IC,23,8,17,BA
79000,Man,IC,5,18,1,BA
131200,Woman,IC,12,10,7,BA
1e+05,Man,IC,16,12,8,BA
12500,Man,IC,12,21,12,BA
47000,Man,IC,8,13,2,LT BA
90000,Woman,IC,8,19,8,MA
88000,Woman,IC,40,5,30,PhD
70000,Man,IC,10,10,7,LT BA
115900,Man,IC,7,11,4,BA
109000,Man,IC,30,11,6,MA
75000,Man,IC,10,14,3,BA
140000,Woman,IC,4,13,2,BA
80000,Man,IC,22,15,12,BA
120000,Man,IC,14,12,8,BA
150000,Man,IC,20,14,15,BA
180000,Man,IC,8,12,8,MA
115000,Man,IC,6,10,4,LT BA
70000,Man,IC,13,13,6,MA
106000,Man,IC,15,6,13,LT BA
450000,Man,IC,15,10,9,LT BA
140000,Man,IC,17,13,14,LT BA
1e+05,Man,Manager,8,20,7,LT BA
105000,Man,IC,20,13,4,BA
2e+05,Man,IC,13,14,9,BA
190000,Man,IC,11,14,6,BA
2e+05,Man,Manager,21,6,14,BA
184678,Man,IC,17,13,13,MA
140000,Man,IC,18,12,16,BA
125000,Man,IC,3,11,2,BA
115000,Man,IC,30,15,30,PhD
120000,Man,IC,19,12,12,BA
90000,Woman,IC,12,12,6,LT BA
152000,Man,IC,40,16,36,MA
75000,Man,IC,15,11,7,BA
85000,Man,IC,8,8,3,LT BA
140000,Man,Manager,9,10,7,BA
80000,Man,IC,4,16,3,BA
110000,Man,IC,4,14,1,BA
155000,Man,IC,20,15,15,LT BA
115000,Man,IC,25,10,20,LT BA
90000,Man,IC,8,17,3,BA
160000,Man,Manager,13,15,8,BA
154000,Man,IC,21,15,15,MA
170000,Man,IC,40,17,34,BA
1e+05,Man,IC,25,25,25,BA
1e+05,Man,IC,2,14,LT 1 year,MA
115000,Woman,IC,20,20,16,MA
39229,Man,IC,4,14,3,BA
126500,Man,IC,15,10,14,MA
55800,Man,IC,11,8,LT 1 year,BA
77000,Man,IC,5,21,4,BA
3e+05,Man,IC,23,13,12,BA
117500,Woman,IC,10,13,8,BA
170000,Man,IC,22,13,15,MA
60000,Man,IC,3,15,2,MA
59569,Man,IC,19,12,9,BA
89000,Man,IC,25,19,25,BA
93000,Man,IC,15,14,11,BA
1e+05,Man,IC,28,11,12,LT BA
270000,Man,IC,8,12,4,BA
65000,Man,IC,13,10,1,BA
125000,Man,IC,12,15,5,BA
90000,Man,IC,6,16,5,BA
90000,Man,IC,8,19,4,BA
135000,Man,Manager,20,16,13,BA
88000,Man,IC,2,22,LT 1 year,MA
135000,Man,Manager,15,9,10,BA
140000,Man,IC,4,20,1,BA
90000,Man,IC,13,15,10,BA
70000,Man,IC,10,13,LT 1 year,BA
72238,Man,IC,5,30,2,LT BA
119000,Man,IC,22,7,20,BA
190000,Man,IC,33,7,19,BA
70000,Woman,IC,1,24,LT 1 year,BA
80000,Man,Manager,4,22,4,BA
78000,Man,IC,12,14,3,BA
80000,Woman,IC,9,16,4,BA
73000,Man,IC,7,21,7,MA
65000,Man,IC,9,12,4,LT BA
125000,Man,IC,42,16,40,BA
102000,Man,IC,13,16,8,BA
210000,Man,IC,15,16,10,MA
80000,Man,IC,6,17,1,BA
114000,Man,IC,18,15,14,BA
68000,Man,IC,10,15,2,BA
60000,Man,Manager,9,17,7,BA
130000,Man,IC,5,17,5,LT BA
140000,Man,IC,18,13,14,BA
1e+05,Man,IC,20,21,16,BA
78000,Man,Manager,18,12,7,BA
126000,Man,IC,35,17,35,BA
170000,Man,IC,22,15,16,BA
85000,Man,Manager,6,16,2,BA
150000,Man,IC,20,9,12,BA
125000,Man,IC,19,14,7,BA
130000,Man,IC,21,13,11,BA
220000,Man,IC,35,12,25,BA
93000,Man,IC,15,15,9,BA
2e+05,Man,Manager,23,13,14,BA
145000,Man,Manager,17,14,15,BA
55000,Man,IC,14,11,4,LT BA
145000,Man,IC,32,13,23,BA
2e+05,Man,IC,18,9,18,PhD
140000,Man,IC,10,15,7,BA
86500,Man,IC,9,18,5,BA
80000,Man,IC,12,16,7,BA
2e+05,Man,Manager,25,10,15,LT BA
112000,Man,IC,15,16,10,MA
72000,Man,IC,5,16,3,LT BA
70000,Man,IC,3,25,LT 1 year,BA
105000,Man,IC,10,15,5,BA
